id,label
107,0.026004211977124214
108,0.004887139890342951
123,0.011751648038625717
124,0.004629085306078196
128,0.005343236029148102
128,0.003111668163910508
133,0.007064955309033394
139,0.008057843893766403
140,0.005479604471474886
145,0.004351466428488493
145,0.0038218977861106396
146,0.004558397922664881
156,0.005395276006311178
168,0.005174088757485151
170,0.006892095319926739
178,0.008658237755298615
18,0.002921625506132841
185,0.025592917576432228
19,0.0040224171243608
198,0.005941993091255426
20,0.005968020297586918
208,0.01294796634465456
213,0.003366866847500205
219,0.0035838629119098186
224,0.0059073069132864475
226,0.003741079941391945
237,0.005910390522330999
240,0.009999655187129974
242,0.005304231774061918
247,0.00881666224449873
26,0.006975303404033184
31,0.0030843561980873346
31,0.00883242767304182
33,0.005405338481068611
34,0.008590788580477238
35,0.002731881570070982
37,0.00321743986569345
40,0.005385607481002808
6,0.006428114604204893
62,0.004794115666300058
67,0.00575731135904789
68,0.0049560097977519035
7,0.005813022144138813
75,0.010826907120645046
77,0.006203549914062023
82,0.004089721944183111
86,0.009645888581871986
9,0.004756079521030188
92,0.004072059411555529
93,0.004364157561212778
94,0.006203846540302038
